Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,2282.870361,2352.327881,2267.018066,2352.327881,2352.327881,6906765990
2024-01-02,2352.593506,2431.212402,2348.892334,2355.836426,2355.836426,12910543630
2024-01-03,2355.981445,2385.117676,2113.925293,2210.761963,2210.761963,19332933581
2024-01-04,2210.529053,2294.608154,2204.865723,2269.038086,2269.038086,11044564896
2024-01-05,2269.409424,2276.764648,2209.537109,2268.647217,2268.647217,10860953290
2024-01-06,2269.540039,2271.359375,2219.781982,2241.624756,2241.624756,5970741680
2024-01-07,2242.012695,2257.127930,2211.562500,2222.865967,2222.865967,6490053615
2024-01-08,2222.857666,2358.815674,2171.993652,2333.032715,2333.032715,13830287095
2024-01-09,2332.868164,2369.641602,2243.219238,2344.827148,2344.827148,14891130716
2024-01-10,2344.923584,2626.976807,2341.943115,2582.103516,2582.103516,29042100476
2024-01-11,2584.171631,2687.779053,2567.993652,2619.619141,2619.619141,22575246883
2024-01-12,2619.177002,2710.421875,2460.925537,2524.460205,2524.460205,23623839263
2024-01-13,2522.933838,2589.079834,2498.594482,2576.597900,2576.597900,12250316867
2024-01-14,2578.003662,2578.332275,2470.424316,2472.241211,2472.241211,9405587417
2024-01-15,2471.666992,2550.769043,2470.820801,2511.363770,2511.363770,9700630000
2024-01-16,2510.627197,2613.566895,2500.003906,2587.691162,2587.691162,11063317095
2024-01-17,2587.044678,2592.737061,2508.432861,2528.369385,2528.369385,10441017520
2024-01-18,2528.593262,2546.263916,2426.135498,2467.018799,2467.018799,11900028080
2024-01-19,2468.688965,2501.305176,2414.710938,2489.498535,2489.498535,11405278376
2024-01-20,2489.847656,2489.847656,2456.095703,2469.589111,2469.589111,5297826161
2024-01-21,2469.798584,2479.760498,2452.377686,2453.913086,2453.913086,4578471955
2024-01-22,2454.987305,2463.447266,2303.502686,2310.826416,2310.826416,13923771728
2024-01-23,2310.951660,2348.031250,2167.282471,2240.686035,2240.686035,16182147521
2024-01-24,2241.749756,2261.384521,2197.656738,2233.561768,2233.561768,10134722960
2024-01-25,2233.969971,2240.380859,2173.686523,2217.710205,2217.710205,9302247037
2024-01-26,2217.441895,2280.383789,2196.140137,2267.199707,2267.199707,9975117607
2024-01-27,2267.319336,2282.544434,2252.385254,2267.885986,2267.885986,5144367230
2024-01-28,2268.192871,2306.898682,2242.683838,2257.208740,2257.208740,7296214994
2024-01-29,2256.995361,2320.027344,2237.711670,2317.064209,2317.064209,8948195551
2024-01-30,2317.435791,2388.870605,2298.281982,2344.493652,2344.493652,10173440062
2024-01-31,2343.558838,2349.611328,2264.443604,2282.544434,2282.544434,10807883277
2024-02-01,2282.175293,2309.842529,2243.571777,2303.824707,2303.824707,8895583113
2024-02-02,2303.706055,2323.053467,2282.230225,2308.038086,2308.038086,7186143091
2024-02-03,2307.980225,2327.346924,2293.538086,2296.038330,2296.038330,4647754021
2024-02-04,2296.116943,2309.011230,2272.304932,2289.546143,2289.546143,5438100035
2024-02-05,2289.205566,2334.676758,2270.067871,2298.888916,2298.888916,7277068110
2024-02-06,2298.955078,2389.826172,2296.788574,2372.201904,2372.201904,9520885493
2024-02-07,2372.262695,2442.636230,2353.706055,2423.745117,2423.745117,9660628536
2024-02-08,2424.080078,2459.556641,2414.749512,2419.906494,2419.906494,9941841732
2024-02-09,2419.773682,2522.724609,2419.362793,2487.515625,2487.515625,13634203177
2024-02-10,2487.650391,2516.719727,2475.857666,2501.228271,2501.228271,6474444159
2024-02-11,2501.129883,2537.679199,2495.214355,2507.570557,2507.570557,7347245813
2024-02-12,2507.578857,2663.842773,2473.812012,2658.115967,2658.115967,13022696866
2024-02-13,2659.586182,2686.455078,2599.169434,2642.185303,2642.185303,18271237044
2024-02-14,2641.685303,2786.893555,2621.025391,2777.902344,2777.902344,21448973822
2024-02-15,2777.601318,2865.845459,2764.010498,2824.378906,2824.378906,23734481937
2024-02-16,2825.480713,2858.450439,2760.331055,2803.691406,2803.691406,17057114638
2024-02-17,2803.735840,2805.128662,2724.386963,2786.672607,2786.672607,17932379943
2024-02-18,2786.709717,2892.843506,2767.913086,2878.998047,2878.998047,23355830478
2024-02-19,2881.296875,2983.370605,2860.263672,2943.574707,2943.574707,15163110589
2024-02-20,2944.106445,3031.524414,2879.903320,3013.503662,3013.503662,20341598470
2024-02-21,3015.653320,3017.190430,2875.418457,2970.355469,2970.355469,18897136867
2024-02-22,2969.599854,3030.666016,2907.109375,2971.007324,2971.007324,18058908246
2024-02-23,2970.139648,2991.329590,2906.583740,2921.658203,2921.658203,12822717059
2024-02-24,2921.962891,3003.195068,2907.700684,2992.385986,2992.385986,10701688842
2024-02-25,2992.366699,3117.428955,2984.393066,3112.697266,3112.697266,14620450464
2024-02-26,3112.529053,3197.375000,3037.954590,3178.993652,3178.993652,17504464351
2024-02-27,3178.405029,3287.958008,3167.830566,3244.519287,3244.519287,21090315368
2024-02-28,3243.893311,3485.450928,3201.575928,3385.703857,3385.703857,32885894265
2024-02-29,3386.802734,3518.969238,3303.905273,3341.919678,3341.919678,28469171094
2024-03-01,3341.965820,3452.626221,3341.851074,3435.053955,3435.053955,16880101987
2024-03-02,3436.159180,3459.747314,3398.898926,3422.049805,3422.049805,12024340617
2024-03-03,3422.875244,3491.168457,3372.214111,3490.993652,3490.993652,13643324467
2024-03-04,3489.340088,3641.459229,3446.017578,3630.433838,3630.433838,26772963830
2024-03-05,3631.928955,3828.159668,3224.119385,3554.964600,3554.964600,47706899137
2024-03-06,3554.067871,3901.434326,3502.802490,3819.226318,3819.226318,34938642613
2024-03-07,3818.311035,3939.593994,3738.685303,3874.347656,3874.347656,22457177587
2024-03-08,3874.830811,3998.826416,3828.363281,3892.061035,3892.061035,26135487051
2024-03-09,3892.119141,3950.396484,3880.658936,3915.418945,3915.418945,11926623780
2024-03-10,3915.590576,3968.723633,3800.564453,3881.193115,3881.193115,15783924355
2024-03-11,3881.237793,4087.050049,3745.125244,4066.445068,4066.445068,28806262507
2024-03-12,4066.690430,4092.284180,3831.889893,3980.273193,3980.273193,26917010932
2024-03-13,3980.265137,4083.007324,3936.627197,4006.457031,4006.457031,22028114691
2024-03-14,4005.745117,4011.102783,3721.788574,3883.140381,3883.140381,25434810823
2024-03-15,3882.856934,3928.775635,3571.774658,3735.220215,3735.220215,33505075433
2024-03-16,3736.104980,3780.894531,3468.079346,3522.860107,3522.860107,20199855932
2024-03-17,3523.029785,3676.263428,3414.172363,3642.413086,3642.413086,19938757095
2024-03-18,3642.298828,3642.497070,3456.091309,3517.985107,3517.985107,21162220224
2024-03-19,3518.347656,3546.582275,3149.286865,3157.618164,3157.618164,34166976701
2024-03-20,3158.396729,3534.826416,3059.654785,3513.393066,3513.393066,36605316331
2024-03-21,3514.017578,3586.905029,3412.222656,3492.991211,3492.991211,22213647922
2024-03-22,3492.897949,3541.898193,3254.969238,3333.687988,3333.687988,20574952329
2024-03-23,3335.592529,3433.758057,3273.115479,3336.593994,3336.593994,13242137554
2024-03-24,3336.666016,3470.344482,3301.277344,3454.636475,3454.636475,12156660941
2024-03-25,3454.885742,3657.118896,3421.790527,3590.883789,3590.883789,18603921705
2024-03-26,3591.085205,3678.789795,3545.428711,3587.504883,3587.504883,18505553577
2024-03-27,3587.313721,3664.383057,3460.393555,3500.115234,3500.115234,18753082145
2024-03-28,3500.216064,3609.705322,3465.332275,3561.293945,3561.293945,16419674157
2024-03-29,3561.011719,3583.701416,3475.725586,3511.806152,3511.806152,12712701619
2024-03-30,3511.827637,3566.084473,3489.902100,3507.944336,3507.944336,9389066783
2024-03-31,3507.951660,3655.218994,3507.242676,3647.856445,3647.856445,10499881424
2024-04-01,3647.819580,3648.129150,3418.695313,3505.030029,3505.030029,16002098681
2024-04-02,3504.818359,3506.962891,3215.985107,3277.234619,3277.234619,22076539151
2024-04-03,3277.324219,3368.111572,3205.649170,3311.441895,3311.441895,16010734587
2024-04-04,3311.495361,3443.207520,3253.319336,3330.040527,3330.040527,14476330517
2024-04-05,3330.005859,3345.666504,3214.244141,3318.885254,3318.885254,15214447092
2024-04-06,3318.864746,3397.592529,3308.983398,3354.183838,3354.183838,8956926798
2024-04-07,3354.213867,3458.508301,3346.114746,3453.494629,3453.494629,9931108526
2024-04-08,3453.498779,3727.616455,3409.511719,3695.292725,3695.292725,19055143129
2024-04-09,3695.341797,3724.922363,3455.107666,3505.163330,3505.163330,18279773833
2024-04-10,3505.156006,3561.516357,3415.180420,3543.737061,3543.737061,16872482726
2024-04-11,3543.452148,3616.194336,3477.171143,3505.247803,3505.247803,14076734489
2024-04-12,3505.329834,3552.589111,3103.430176,3243.034912,3243.034912,22104869556
2024-04-13,3242.940918,3299.663818,2862.393555,3004.900391,3004.900391,29930408174
2024-04-14,3005.547607,3174.666504,2914.422852,3156.941895,3156.941895,25486284994
2024-04-15,3156.830078,3277.561523,3026.538818,3101.600342,3101.600342,21925843181
2024-04-16,3101.140625,3127.160889,2997.754639,3084.920166,3084.920166,19441391169
2024-04-17,3084.923584,3123.669678,2918.553711,2984.727539,2984.727539,17711869375
2024-04-18,2984.705322,3094.842041,2956.127441,3066.027588,3066.027588,15183777035
2024-04-19,3065.953125,3127.114990,2868.795898,3059.278564,3059.278564,20399982867
2024-04-20,3059.478027,3170.672852,3021.784912,3157.627197,3157.627197,9918642130
2024-04-21,3157.571045,3197.506348,3119.552002,3147.288574,3147.288574,9394387894
2024-04-22,3147.663574,3236.659180,3131.367432,3201.652100,3201.652100,12063858733
2024-04-23,3201.588623,3264.419434,3154.589844,3219.911621,3219.911621,11054442653
2024-04-24,3219.957031,3292.921631,3105.982178,3139.805176,3139.805176,14000234760
2024-04-25,3139.624268,3190.976318,3074.804688,3156.509521,3156.509521,13989030260
2024-04-26,3156.384033,3166.188721,3103.104004,3130.164795,3130.164795,10622333862
2024-04-27,3129.727051,3279.451172,3071.340088,3252.168213,3252.168213,11820785577
2024-04-28,3252.245605,3351.176514,3249.149170,3262.774658,3262.774658,11379192678
2024-04-29,3262.340820,3285.468750,3116.199951,3215.428955,3215.428955,15032246816
2024-04-30,null,null,null,null,null,null
2024-05-01,3011.292236,3016.822998,2961.520752,2983.724609,2983.724609,17965936640
